Public toilet,Hospital,Park,Shopping mall,Hotel,Restaurant,Petrol Station,Mosque,Others,Name of the Place,Latitude,Longitude,Location,Separate female washroom,Handicapped washroom facility,Kids Feeding corner ,Separate female prayer room,kids and women refreshing area,Others
,,,,Yes ,,,,,Muslim Hotel.Khulna,22.98222752,89.46226479,https://maps.app.goo.gl/NivLMgN6ZUfBYbn16,Yes ,,,,,
,,,,,,Yes,,,Fultola Filling Station.Khulna,22.979386,89.46277534,https://maps.app.goo.gl/3M5wKH6iTFXiKfiU8,,,,,,
,,,,Yes,,,,,Fultola Bus Station.Khulna,22.9743608,89.47478004,https://maps.app.goo.gl/xxKWpJZiU17KBSsY6,,,,,,
,,,,,,,Yes,,Fultola Bus Stand Jame Mosque,22.97364011,89.47505241,https://maps.app.goo.gl/SqD7m86nLkn1E6of7,,,,,,
,,,,,,Yes,,,Vuiya LPG Filling station.Fultola,22.97542728,89.4728463,https://maps.app.goo.gl/9D1XJt5AEeQ1NNoBA,,,,,,
,Yes,,,,,,,,Sardar Complex.Fultola.Khulna,22.97519886,89.47595427,https://maps.app.goo.gl/TTGFwYRUcNeeXKgZ9,Yes,,,,,
Yes ,,,,,,,,,Sonadanga Public Toilet.Khulna,22.819702,89.5410632,https://maps.app.goo.gl/YKaLsCS7s4CsVxNV9,,,,,,
,,,,,,Yes,,,Joy Petroleum and LPG filling station,22.78488769,89.55286905,https://maps.app.goo.gl/1pDqJQe4m43X5rzB7,,,,,,
,,,,,,,,,Sonadanga khulna,22.81677764,89.54295703,https://maps.app.goo.gl/ra3VsB1gnaqssRt29,,,,,,
,,,,,,Yes,,,Super Filling Station.fultola,22.9716114,89.4761314,https://maps.app.goo.gl/a3T8e6sDuLTapCA67,,,,,,
,,,,,,,Yes,,Fultola Thana Mosque.Khulna,22.9702136133251,89.47660349,https://maps.app.goo.gl/UN9fSVJiNUwecvqE8,,,,,,
,Yes,,,,,,,,Memorial Hospital.Khulna,22.82465444,89.53961661,https://maps.app.goo.gl/2AmiY8KGw9g8BuhNA,Yes,Yes,Yes,Yes,Yes,
